Calendar Week,Expert Partner,Expert Location,OIT Node 1 (Contact Drivers),OIT Node 2 (Contact Drivers),OIT Node 3 (Contact Drivers),Handled Contacts,AHT,Transfers (%),tNPS,Survey Resp. Rate (tNPS),TNPS Survey Resp. Count,Issue Resolution (tNPS),New MCR 7-Day (Look-forward),Cases,Cases (excl. Internal),# of Experts
7/28/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,Login and password,85.,28.1,18.8%,71.4,14.9%,7.,85.7%,21.2%,75.,60.,51.
7/28/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,Manage users,13.,23.9,23.1%,.0,25.0%,2.,50.0%,30.0%,13.,11.,12.
7/28/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,Multi-user mode,20.,41.0,15.0%,25.0,36.4%,4.,75.0%,23.5%,23.,15.,21.
7/28/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,Primary administrator,49.,27.9,8.2%,-25.0,13.8%,4.,66.7%,18.4%,47.,37.,29.
7/28/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,-,149.,29.4,15.4%,29.4,19.1%,17.,75.0%,20.3%,142.,113.,64.
7/28/2024,CONCENTRIX,Mexico City,Account management,Business profile,Business name,9.,16.9,22.2%,-,.0%,.,-,.0%,8.,8.,11.
7/28/2024,CONCENTRIX,Mexico City,Account management,Business profile,Business phone number,1.,5.1,.0%,-,-,.,-,-,1.,.,1.
7/28/2024,CONCENTRIX,Mexico City,Account management,Business profile,-,15.,17.6,13.3%,100.0,28.6%,2.,100.0%,9.1%,15.,13.,16.
7/28/2024,CONCENTRIX,Mexico City,Account management,Customer profile,Manage customers,63.,25.1,41.3%,66.7,12.5%,3.,66.7%,20.0%,63.,48.,39.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit account payment method,9.,8.9,33.3%,100.0,33.3%,1.,100.0%,16.7%,8.,5.,9.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit billing issues,28.,17.5,46.4%,100.0,10.0%,1.,100.0%,5.6%,21.,17.,23.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit billing updates,55.,25.5,18.2%,50.0,22.2%,8.,85.7%,11.6%,54.,45.,37.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit discounts,3.,24.6,66.7%,-,.0%,.,-,.0%,4.,4.,3.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit fees,98.,18.8,30.6%,66.7,13.0%,6.,80.0%,4.5%,80.,66.,50.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit invoices,7.,11.8,28.6%,100.0,100.0%,1.,100.0%,.0%,4.,4.,7.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit pricing,30.,13.8,26.7%,.0,7.7%,1.,100.0%,13.0%,27.,18.,20.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit refunds,35.,17.4,14.3%,50.0,9.1%,2.,100.0%,3.8%,34.,32.,29.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,-,195.,20.0,27.7%,50.0,16.0%,16.,85.7%,7.7%,176.,144.,62.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit account settings,-,39.,33.7,5.1%,.0,10.0%,2.,100.0%,6.5%,39.,29.,20.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit product orders,New subscriptions,22.,25.2,36.4%,33.3,27.3%,3.,100.0%,13.3%,20.,15.,21.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit product orders,Order supplies,2.,12.4,.0%,-,-,.,-,.0%,1.,.,2.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit product orders,-,33.,19.7,42.4%,33.3,27.3%,3.,100.0%,13.0%,29.,20.,29.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit subscriptions,Account status,51.,21.9,23.5%,75.0,14.8%,4.,100.0%,12.8%,43.,38.,39.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit subscriptions,Cancel products or services,66.,19.0,27.3%,71.4,16.7%,7.,100.0%,11.6%,65.,52.,46.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit subscriptions,Migrate services,2.,4.0,100.0%,-,-,.,-,.0%,2.,.,2.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit subscriptions,Renew or reactivate,137.,32.5,13.1%,40.0,17.0%,15.,86.7%,14.0%,141.,114.,51.
7/28/2024,CONCENTRIX,Mexico City,Account management,Intuit subscriptions,-,262.,26.3,21.4%,50.0,19.1%,30.,85.2%,12.5%,254.,207.,68.
7/28/2024,CONCENTRIX,Mexico City,Account management,Taxpayer Identification numbers,-,8.,7.5,25.0%,-,-,.,-,.0%,5.,3.,9.
7/28/2024,CONCENTRIX,Mexico City,Account management,-,-,408.,23.8,24.0%,54.1,16.9%,37.,87.9%,9.8%,378.,304.,72.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Bookkeeping processes,Journal entries,7.,16.8,28.6%,100.0,33.3%,1.,100.0%,.0%,8.,6.,8.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Bookkeeping processes,Statement reconciliation,11.,31.8,18.2%,100.0,25.0%,1.,100.0%,42.9%,12.,5.,9.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business accounts,Chart of accounts,1.,2.7,.0%,-,.0%,.,-,.0%,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business accounts,-,3.,11.2,.0%,-,.0%,.,-,.0%,3.,1.,3.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Accounts payable reports,1.,47.8,.0%,-,.0%,.,-,-,2.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Accounts receivable reports,3.,24.9,.0%,-,.0%,.,-,.0%,4.,4.,3.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Audit log,1.,1.8,.0%,-,-,.,-,-,.,.,1.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Customer statements,7.,44.4,14.3%,-,.0%,.,-,28.6%,7.,6.,7.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Financial reports,4.,30.6,.0%,-,.0%,.,-,.0%,6.,5.,4.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Payroll reports,9.,30.5,22.2%,100.0,25.0%,1.,100.0%,.0%,10.,5.,9.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Sales reports,1.,2.4,.0%,-,-,.,-,-,1.,.,1.
